Feature,MLP,XGBoost,CatBoost,Margin
ALTITUDE_ADVANTAGE,0.0006910569105690711,0.004952154,0.06615031202805444,0.45036066
ALTITUDE_B2B_PENALTY,0.00032520325203248547,0.0052686892,0.07138795246080881,0.02006425
AWAY_3PT_EXPLOITATION,,,0.11107295197958969,
AWAY_3_IN_4,,0.005006247,,
AWAY_4_IN_5,,,0.24678841627278464,
AWAY_4_IN_6,,0.0040658037,,
AWAY_ACTIVE_ROSTER_BENCH_IMPACT,,0.00415962,0.2824069502102643,
AWAY_ACTIVE_ROSTER_BENCH_SHARE,,0.0035006083,0.1822058558150088,
AWAY_ACTIVE_ROSTER_EXPECTED_DBPM,,0.003920289,,
AWAY_ACTIVE_ROSTER_EXPECTED_EFG,,0.0030009388,0.20820452857188185,
AWAY_ACTIVE_ROSTER_EXPECTED_FTR,,0.0030522444,0.14492072767463188,
AWAY_ACTIVE_ROSTER_EXPECTED_NET_BPM,,0.0040355516,0.20779395006237145,
AWAY_ACTIVE_ROSTER_EXPECTED_OBPM,,0.004064075,0.11034253939545763,
AWAY_ACTIVE_ROSTER_EXPECTED_OREB,,0.00396049,,
AWAY_ACTIVE_ROSTER_EXPECTED_TOV,,0.0029479745,,
AWAY_ACTIVE_ROSTER_FORM_MAX,,0.0026111056,0.022952722419689858,
AWAY_ACTIVE_ROSTER_FORM_STD,,0.0028362975,0.03553065032139778,
AWAY_ACTIVE_ROSTER_FORM_SUM,,0.00416053,0.2785919785298868,
AWAY_ACTIVE_ROSTER_ROBUST_FORM_MAX,,0.003435527,,
AWAY_ACTIVE_ROSTER_ROBUST_FORM_SUM,,0.0047080996,,
AWAY_ACTIVE_ROSTER_STAR_SHARE,,0.00306536,0.0890368604445731,
AWAY_ACTIVE_ROSTER_TOP_2_SHARE,,0.0036225773,0.0,
AWAY_ALTITUDE,,0.004897007,,
AWAY_ALTITUDE_FATIGUE_IMPACT,,,0.0,
AWAY_B2B,,0.00710621,0.5046109758083798,0.8135425
AWAY_CIRCADIAN_FATIGUE_INDEX,,0.0033398494,0.15325530613949312,
AWAY_DEF_FTR,,0.0036281787,,
AWAY_DEF_RATING_EWMA_10,,0.0053454163,0.3900971969972064,
AWAY_DEF_RATING_EWMA_5,,0.0043469304,0.28900839803717676,
AWAY_DEF_REB_RATE,,0.005534425,0.9812971756485087,
AWAY_DEF_TOV_RATE,,0.003876075,,
AWAY_D_3PT_TRUE,,0.003148498,,
AWAY_D_3PT_TRUE_EWMA_10,,0.0030427799,,
AWAY_D_3PT_TRUE_EWMA_5,,0.003157484,,
AWAY_FATIGUE_EWMA_MINUTES_10_MAX,,0.0045588473,0.14205445682262205,
AWAY_FATIGUE_EWMA_MINUTES_10_MEAN,,0.009873856,3.612189262343756,
AWAY_FATIGUE_EWMA_MINUTES_10_STD,,0.005526165,0.6597974408603878,
AWAY_FATIGUE_EWMA_MINUTES_10_SUM,,0.0074650845,1.3156654216691566,
AWAY_FATIGUE_EWMA_MINUTES_5_MAX,,0.0040281345,0.14839614975970353,
AWAY_FATIGUE_EWMA_MINUTES_5_MEAN,,0.008882999,3.161400335286777,
AWAY_FATIGUE_EWMA_MINUTES_5_STD,,0.0064269495,1.0948970816709442,
AWAY_FATIGUE_EWMA_MINUTES_5_SUM,,0.0069065797,2.274843363571482,
AWAY_FATIGUE_IMPORTANCE_10_MAX,,0.0038457725,0.1563803364561784,
AWAY_FATIGUE_IMPORTANCE_10_STD,,0.0036517892,0.08744697932245127,
AWAY_FATIGUE_IMPORTANCE_10_SUM,,0.005686887,0.12886193476970276,
AWAY_FATIGUE_SURGE_MAX,,0.004600891,0.9379167643804301,
AWAY_FATIGUE_SURGE_SUM,,0.0032792112,0.1925363006022028,
AWAY_FOUR_FACTOR_EFG_EWMA_10,,0.0036126946,,
AWAY_FOUR_FACTOR_EFG_EWMA_5,,0.0033005078,0.1760551569075401,
AWAY_FOUR_FACTOR_EFG_ROLLING_8,,0.003301612,0.125013471323021,
AWAY_FOUR_FACTOR_FTR_EWMA_10,,0.003565075,,
AWAY_FOUR_FACTOR_FTR_EWMA_5,,0.004858027,,
AWAY_FOUR_FACTOR_FTR_ROLLING_8,,0.003438626,0.13119648872201228,
AWAY_FOUR_FACTOR_OREB_EWMA_10,,0.0035147169,,
AWAY_FOUR_FACTOR_OREB_EWMA_5,,0.0028362514,,
AWAY_FOUR_FACTOR_OREB_ROLLING_8,,0.0032795945,0.04168823177798818,
AWAY_FOUR_FACTOR_TOV_EWMA_10,,0.003804271,0.23830308430145833,
AWAY_FOUR_FACTOR_TOV_EWMA_5,,0.0033348526,0.1456862670084754,
AWAY_FOUR_FACTOR_TOV_ROLLING_8,,0.0032280372,,
AWAY_FTR_CLASH,,,0.11317069834574937,
AWAY_LINEUP_AVAILABILITY_RATIO,,0.004091145,0.15080134957125746,
AWAY_LINEUP_MISSING_PRODUCTION,,0.005120964,0.31845670709469953,
AWAY_NET_RATING_EWMA_10,,0.013171107,1.6812214769480944,
AWAY_NET_RATING_EWMA_5,,0.006089782,0.7691686625273646,
AWAY_OFF_RATING_EWMA_5,,0.00378085,0.11262497361086468,
AWAY_OPP_3PA_RATE_EWMA_5,,0.0038624268,0.0,
AWAY_PACE_EWMA_10,,0.005462629,0.2215910303846708,
AWAY_PACE_EWMA_5,,0.0035085627,0.3904455119064575,
AWAY_PLAYMAKER_CONCENTRATION_RATIO,,0.0032083692,,
AWAY_PRE_GAME_ELO,,0.024303906,13.813654193348036,
AWAY_REST_DAYS,,0.0076995045,0.7921087878166928,
AWAY_ROAD_TRIP_LENGTH,,0.0026123244,3.74055017938373e-05,
AWAY_ROLLING_ACTIVE_ROSTER_FORM_10,,0.0037799063,0.1744096348235154,
AWAY_ROLLING_DEF_RATING,,0.005933273,0.5765888435986551,
AWAY_ROLLING_NET_RATING,,0.013404524,0.9117021509726275,
AWAY_ROLLING_OFF_RATING,,0.0032058728,0.09436773035996551,
AWAY_ROLLING_PACE_8,,0.0051051695,0.6718039682356094,
AWAY_ROLLING_POSS_8,,0.0057297437,0.9690637256347681,
AWAY_ROLLING_PTS_8,,0.005240202,,
AWAY_ROLLING_STAR_SHARE_10,,0.0028638213,0.22665006858229927,
AWAY_ROLLING_TOP_2_SHARE_10,,0.0024661191,,
AWAY_SOS_EWMA_10,,0.0031705645,0.15296369684494457,
AWAY_SOS_EWMA_5,,0.0034788174,,
AWAY_SOS_ROLLING_8,,0.0029790294,,
AWAY_SPACING_GRAVITY_INDEX,,0.0030938191,,
AWAY_TRAVEL_7D,,0.0035768473,0.08405895979921128,
AWAY_TZ_CIRCADIAN_PENALTY,,0.0021085965,0.04685716569696659,
DELTA_3PT_EXPLOITATION,-0.000894308943089478,,,0.07472618
DELTA_3_IN_4,0.0007317073170731269,,,0.01268598
DELTA_4_IN_5,-4.065040650408358e-05,,,0.16088419
DELTA_4_IN_6,-4.0650406504100237e-05,,,0.10990577
DELTA_ACTIVE_ROSTER_BENCH_IMPACT,0.00020325203252029577,,,0.13005975
DELTA_ACTIVE_ROSTER_BENCH_SHARE,0.0019918699186991405,,,0.37283757
DELTA_ACTIVE_ROSTER_EXPECTED_DBPM,-0.0013414634146341863,,,0.02137615
DELTA_ACTIVE_ROSTER_EXPECTED_EFG,0.0006097560975609317,,,0.16573285
DELTA_ACTIVE_ROSTER_EXPECTED_FTR,0.0007723577235771939,,,0.032576643
DELTA_ACTIVE_ROSTER_EXPECTED_NET_BPM,0.0031300813008129703,,,0.012672023
DELTA_ACTIVE_ROSTER_EXPECTED_OBPM,-4.0650406504111336e-05,,,0.029256908
DELTA_ACTIVE_ROSTER_EXPECTED_OREB,0.0015040650406503765,,,0.08701112
DELTA_ACTIVE_ROSTER_EXPECTED_TOV,4.065040650402252e-05,,,0.18598391
DELTA_ACTIVE_ROSTER_FORM_MAX,0.003739837398373952,,,0.04177482
DELTA_ACTIVE_ROSTER_FORM_STD,-0.0014634146341463816,,,0.7933046
DELTA_ACTIVE_ROSTER_FORM_SUM,0.001463414634146304,,,0.06222116
DELTA_ACTIVE_ROSTER_ROBUST_FORM_SUM,0.000772357723577205,,,0.4673066
DELTA_ACTIVE_ROSTER_STAR_SHARE,-0.0010162601626016565,,,0.071346015
DELTA_ACTIVE_ROSTER_TOP_2_SHARE,0.0008130081300812663,,,0.24966261
DELTA_ALTITUDE,0.0017073170731706888,,,0.23325008
DELTA_CIRCADIAN_FATIGUE,-0.000365853658536619,,,0.14031285
DELTA_DEF_RATING_EWMA_10,-0.0008536585365854054,,,1.0654353
DELTA_DEF_RATING_EWMA_5,0.00020325203252029024,,,0.11512148
DELTA_D_3PT_TRUE,,,,0.003462893
